ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
1000015,Bank form (without employer stamp),Vacation,0.0,0.34,female,0,0,higher,specialist,>250,0.0,17.0,25.0,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000035,Free form with employer stamp,Education,1.0,0.32,female,2,0,higher,senior manager,< 50,3.0,25.0,37.0,Other,LLC,married,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000055,Bank form (without employer stamp),Repair,0.0,0.39,male,1,0,*n.a.*,Sales Manager,>250,0.0,51.0,31.0,Trade,LLC,divorced / divorced,2.0,1.0,1.0,0.0,0.0,0.0630630631,0.0,0.0,0.0,0.0,0.2,2.0,8.0,104.0,10.0,1.0,1.0,4.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000075,Receipt of salary into account,Buying a car,0.0,0.28,male,1,0,higher,specialist,>250,0.0,85.0,29.0,Other,LLC,married,0.0,0.0,0.0,0.0,0.0,0.0512820513,1.0,0.0,0.0,0.0,0.5,2.0,2.0,74.0,4.0,1.0,0.0,17.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000095,2NDFL,Buying a car,1.0,0.55,male,1,0,higher,specialist,>250,3.0,52.0,25.0,Civil service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000115,2NDFL,Real estate purchase/construction,1.0,0.59,female,0,0,incomplete higher education,support staff,>250,3.0,65.0,26.0,The science,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000135,Receipt of salary into account,Buying a car,1.0,0.18,male,0,0,second higher education,specialist,>250,1.0,10.0,25.0,Other,CJSC,"single, not married",2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000155,Receipt of salary into account,Repair,1.0,0.44,female,0,0,higher,specialist,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000175,2NDFL,Real estate purchase/construction,1.0,0.49,male,0,0,specialized secondary,support staff,>250,3.0,31.0,45.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000195,Receipt of salary into account,Vacation,1.0,0.17,male,0,0,higher,specialist,>250,0.0,55.0,28.0,Other,LLC,married,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666667,1.0,5.0,56.0,6.0,1.0,1.0,12.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
